alpha3-b,alpha3-t,alpha2,english,yandex,google,bing,reverso,deepl
auto,,auto,Auto,auto,auto,auto-detect,auto,AUTO
aar,,aa,Afar,,,,,
abk,,ab,Abkhazian,,,,,
ace,,,Achinese,,,,,
ach,,,Acoli,,,,,
ada,,,Adangme,,,,,
ady,,,Adyghe,,,,,
ady,,,Adygei,,,,,
afa,,,Afro-Asiatic languages,,,,,
afh,,,Afrihili,,,,,
afr,,af,Afrikaans,af,af,af,,
ain,,,Ainu,,,,,
aka,,ak,Akan,,,,,
akk,,,Akkadian,,,,,
alb,sqi,sq,Albanian,sq,sq,sq,,
ale,,,Aleut,,,,,
alg,,,Algonquian languages,,,,,
alt,,,Southern Altai,,,,,
amh,,am,Amharic,am,am,am,,
anp,,,Angika,,,,,
apa,,,Apache languages,,,,,
ara,,ar,Arabic,ar,ar,ar,ar,
arg,,an,Aragonese,,,,,
arm,hye,hy,Armenian,hy,hy,hy,,
arn,,,Mapudungun,,,,,
arn,,,Mapuche,,,,,
arp,,,Arapaho,,,,,
art,,,Artificial languages,,,,,
arw,,,Arawak,,,,,
asm,,as,Assamese,,,as,,
ast,,,Asturian,,,,,
ast,,,Bable,,,,,
ast,,,Leonese,,,,,
ast,,,Asturleonese,,,,,
ath,,,Athapascan languages,,,,,
aus,,,Australian languages,,,,,
ava,,av,Avaric,,,,,
ave,,ae,Avestan,,,,,
awa,,,Awadhi,,,,,
aym,,ay,Aymara,,,,,
aze,,az,Azerbaijani,az,az,az,,
bad,,,Banda languages,,,,,
bai,,,Bamileke languages,,,,,
bak,,ba,Bashkir,ba,,,,
bal,,,Baluchi,,,,,
bam,,bm,Bambara,,,,,
ban,,,Balinese,,,,,
baq,eus,eu,Basque,eu,eu,,,
bas,,,Basa,,,,,
bat,,,Baltic languages,,,,,
bej,,,Beja,,,,,
bej,,,Bedawiyet,,,,,
bel,,be,Belarusian,be,be,,,
bem,,,Bemba,,,,,
ben,,bn,Bengali,bn,bn,bn,,
ber,,,Berber languages,,,,,
bho,,,Bhojpuri,,,,,
bih,,bh,Bihari languages,,,,,
bik,,,Bikol,,,,,
bin,,,Bini,,,,,
bin,,,Edo,,,,,
bis,,bi,Bislama,,,,,
bla,,,Siksika,,,,,
bnt,,,Bantu languages,,,,,
bos,,bs,Bosnian,bs,bs,bs,,
bra,,,Braj,,,,,
bre,,br,Breton,,,,,
btk,,,Batak languages,,,,,
bua,,,Buriat,,,,,
bug,,,Buginese,,,,,
bul,,bg,Bulgarian,bg,bg,bg,,BG
bur,mya,my,Burmese,my,my,my,,
byn,,,Blin,,,,,
byn,,,Bilin,,,,,
cad,,,Caddo,,,,,
cai,,,Central American Indian languages,,,,,
car,,,Galibi Carib,,,,,
cat,,ca,Catalan,ca,ca,ca,,
cat,,ca,Valencian,ca,ca,ca,,
cau,,,Caucasian languages,,,,,
ceb,,,Cebuano,ceb,ceb,,,
cel,,,Celtic languages,,,,,
cha,,ch,Chamorro,,,,,
chb,,,Chibcha,,,,,
che,,ce,Chechen,,,,,
chg,,,Chagatai,,,,,
chi,zho,zh,Chinese,zh,zh-cn,zh-Hans,zh,ZH
chk,,,Chuukese,,,,,
chm,,,Mari,,,,,
chn,,,Chinook jargon,,,,,
cho,,,Choctaw,,,,,
chp,,,Chipewyan,,,,,
chp,,,Dene Suline,,,,,
chr,,,Cherokee,,,,,
chv,,cv,Chuvash,cv,,,,
chy,,,Cheyenne,,,,,
cmc,,,Chamic languages,,,,,
cnr,,,Montenegrin,,,,,
cop,,,Coptic,,,,,
cor,,kw,Cornish,,,,,
cos,,co,Corsican,,co,,,
cpe,,,"Creoles and pidgins, English based",,,,,
cpf,,,"Creoles and pidgins, French-based",,,,,
cpp,,,"Creoles and pidgins, Portuguese-based",,,,,
cre,,cr,Cree,,,,,
crh,,,Crimean Tatar,,,,,
crh,,,Crimean Turkish,,,,,
crp,,,Creoles and pidgins,,,,,
csb,,,Kashubian,,,,,
cus,,,Cushitic languages,,,,,
cze,ces,cs,Czech,cs,cs,cs,,CS
dak,,,Dakota,,,,,
dan,,da,Danish,da,da,da,,DA
dar,,,Dargwa,,,,,
day,,,Land Dayak languages,,,,,
del,,,Delaware,,,,,
den,,,Slave (Athapascan),,,,,
dgr,,,Dogrib,,,,,
din,,,Dinka,,,,,
div,,dv,Divehi,,,,,
div,,dv,Dhivehi,,,,,
div,,dv,Maldivian,,,,,
doi,,,Dogri,,,,,
dra,,,Dravidian languages,,,,,
dsb,,,Lower Sorbian,,,,,
dua,,,Duala,,,,,
dut,nld,nl,Dutch,nl,nl,nl,nl,NL
dut,nld,nl,Flemish,nl,nl,nl,nl,NL
dyu,,,Dyula,,,,,
dzo,,dz,Dzongkha,,,,,
efi,,,Efik,,,,,
egy,,,Egyptian (Ancient),,,,,
eka,,,Ekajuk,,,,,
elx,,,Elamite,,,,,
eng,,en,English,en,en,en,en,EN
epo,,eo,Esperanto,eo,eo,,,
est,,et,Estonian,et,et,et,,ET
ewe,,ee,Ewe,,,,,
ewo,,,Ewondo,,,,,
fan,,,Fang,,,,,
fao,,fo,Faroese,,,,,
fat,,,Fanti,,,,,
fij,,fj,Fijian,,,fj,,
fil,,,Filipino,,,fil,,
fil,,,Pilipino,,,fil,,
fin,,fi,Finnish,fi,fi,fi,,FI
fiu,,,Finno-Ugrian languages,,,,,
fon,,,Fon,,,,,
fre,fra,fr,French,fr,fr,fr,fr,FR
,,,French (Canada),,,fr-ca,,
frr,,,Northern Frisian,,,,,
frs,,,Eastern Frisian,,,,,
fry,,fy,Western Frisian,,fy,,,
ful,,ff,Fulah,,,,,
fur,,,Friulian,,,,,
gaa,,,Ga,,,,,
gay,,,Gayo,,,,,
gba,,,Gbaya,,,,,
gem,,,Germanic languages,,,,,
geo,kat,ka,Georgian,ka,ka,,,
ger,deu,de,German,de,de,de,de,DE
gez,,,Geez,,,,,
gil,,,Gilbertese,,,,,
gla,,gd,Gaelic,gd,gd,,,
gla,,gd,Scottish Gaelic,gd,gd,,,
gle,,ga,Irish,ga,ga,ga,,
glg,,gl,Galician,gl,gl,,,
glv,,gv,Manx,,,,,
gon,,,Gondi,,,,,
gor,,,Gorontalo,,,,,
got,,,Gothic,,,,,
grb,,,Grebo,,,,,
gre,ell,el,Greek,el,el,el,,EL
grn,,gn,Guarani,,,,,
gsw,,,Swiss German,,,,,
gsw,,,Alemannic,,,,,
gsw,,,Alsatian,,,,,
guj,,gu,Gujarati,gu,gu,gu,,
gwi,,,Gwich'in,,,,,
hai,,,Haida,,,,,
hat,,ht,Haitian,ht,ht,ht,,
hat,,ht,Haitian Creole,ht,ht,ht,,
hau,,ha,Hausa,,ha,,,
haw,,,Hawaiian,,haw,,,
heb,,he,Hebrew,he,he,he,he,
her,,hz,Herero,,,,,
hil,,,Hiligaynon,,,,,
him,,,Himachali languages,,,,,
him,,,Western Pahari languages,,,,,
hin,,hi,Hindi,hi,hi,hi,,
hit,,,Hittite,,,,,
hmn,,,Hmong,,,,,
hmn,,,Mong,,,,,
hmo,,ho,Hiri Motu,,,,,
hrv,,hr,Croatian,hr,hr,hr,,
hsb,,,Upper Sorbian,,,,,
hun,,hu,Hungarian,hu,hu,hu,,HU
hup,,,Hupa,,,,,
iba,,,Iban,,,,,
ibo,,ig,Igbo,,ig,,,
ice,isl,is,Icelandic,is,is,is,,
ido,,io,Ido,,,,,
iii,,ii,Sichuan Yi,,,,,
iii,,ii,Nuosu,,,,,
ijo,,,Ijo languages,,,,,
iku,,iu,Inuktitut,,,iu,,
ile,,ie,Interlingue,,,,,
ile,,ie,Occidental,,,,,
ilo,,,Iloko,,,,,
ina,,ia,Interlingua (International Auxiliary Language Association),,,,,
inc,,,Indic languages,,,,,
ind,,id,Indonesian,id,id,id,,
ine,,,Indo-European languages,,,,,
inh,,,Ingush,,,,,
ipk,,ik,Inupiaq,,,,,
ira,,,Iranian languages,,,,,
iro,,,Iroquoian languages,,,,,
ita,,it,Italian,it,it,it,it,IT
jav,,jv,Javanese,jv,jw,,,
jbo,,,Lojban,,,,,
jpn,,ja,Japanese,ja,ja,ja,ja,JA
jpr,,,Judeo-Persian,,,,,
jrb,,,Judeo-Arabic,,,,,
kaa,,,Kara-Kalpak,,,,,
kab,,,Kabyle,,,,,
kac,,,Kachin,,,,,
kac,,,Jingpho,,,,,
kal,,kl,Kalaallisut,,,,,
kal,,kl,Greenlandic,,,,,
kam,,,Kamba,,,,,
kan,,kn,Kannada,kn,kn,kn,,
kar,,,Karen languages,,,,,
kas,,ks,Kashmiri,,,,,
kau,,kr,Kanuri,,,,,
kaw,,,Kawi,,,,,
kaz,,kk,Kazakh,kk,kk,kk,,
kbd,,,Kabardian,,,,,
kha,,,Khasi,,,,,
khi,,,Khoisan languages,,,,,
khm,,km,Central Khmer,km,km,km,,
kho,,,Khotanese,,,,,
kho,,,Sakan,,,,,
kik,,ki,Kikuyu,,,,,
kik,,ki,Gikuyu,,,,,
kin,,rw,Kinyarwanda,,,,,
kir,,ky,Kirghiz,ky,ky,,,
kir,,ky,Kyrgyz,ky,ky,,,
kmb,,,Kimbundu,,,,,
kok,,,Konkani,,,,,
kom,,kv,Komi,,,,,
kon,,kg,Kongo,,,,,
kor,,ko,Korean,ko,ko,ko,,
kos,,,Kosraean,,,,,
kpe,,,Kpelle,,,,,
krc,,,Karachay-Balkar,,,,,
krl,,,Karelian,,,,,
kro,,,Kru languages,,,,,
kru,,,Kurukh,,,,,
kua,,kj,Kuanyama,,,,,
kua,,kj,Kwanyama,,,,,
kum,,,Kumyk,,,,,
kur,,ku,Kurdish,,ku,ku,,
kut,,,Kutenai,,,,,
lad,,,Ladino,,,,,
lah,,,Lahnda,,,,,
lam,,,Lamba,,,,,
lao,,lo,Lao,lo,lo,lo,,
lat,,la,Latin,la,la,,,
lav,,lv,Latvian,lv,lv,lv,,LV
lez,,,Lezghian,,,,,
lim,,li,Limburgan,,,,,
lim,,li,Limburger,,,,,
lim,,li,Limburgish,,,,,
lin,,ln,Lingala,,,,,
lit,,lt,Lithuanian,lt,lt,lt,,LT
lol,,,Mongo,,,,,
loz,,,Lozi,,,,,
ltz,,lb,Luxembourgish,lb,lb,,,
ltz,,lb,Letzeburgesch,lb,lb,,,
lua,,,Luba-Lulua,,,,,
lub,,lu,Luba-Katanga,,,,,
lug,,lg,Ganda,,,,,
lui,,,Luiseno,,,,,
lun,,,Lunda,,,,,
luo,,,Luo (Kenya and Tanzania),,,,,
lus,,,Lushai,,,,,
mac,mkd,mk,Macedonian,mk,mk,,,
mad,,,Madurese,,,,,
mag,,,Magahi,,,,,
mah,,mh,Marshallese,,,,,
mai,,,Maithili,,,,,
mak,,,Makasar,,,,,
mal,,ml,Malayalam,ml,ml,ml,,
man,,,Mandingo,,,,,
mao,mri,mi,Maori,mi,mi,mi,,
map,,,Austronesian languages,,,,,
mar,,mr,Marathi,mr,mr,mr,,
mas,,,Masai,,,,,
may,msa,ms,Malay,ms,ms,ms,,
mdf,,,Moksha,,,,,
mdr,,,Mandar,,,,,
men,,,Mende,,,,,
mic,,,Mi'kmaq,,,,,
mic,,,Micmac,,,,,
min,,,Minangkabau,,,,,
mkh,,,Mon-Khmer languages,,,,,
mlg,,mg,Malagasy,mg,mg,mg,,
mlt,,mt,Maltese,mt,mt,mt,,
mnc,,,Manchu,,,,,
mni,,,Manipuri,,,,,
mno,,,Manobo languages,,,,,
moh,,,Mohawk,,,,,
mon,,mn,Mongolian,mn,mn,,,
mos,,,Mossi,,,,,
mrj,,,Western Mari,mrj,,,,
mhr,,,Eastern Mari,mhr,,,,
mun,,,Munda languages,,,,,
mus,,,Creek,,,,,
mwl,,,Mirandese,,,,,
mwr,,,Marwari,,,,,
myn,,,Mayan languages,,,,,
myv,,,Erzya,,,,,
nah,,,Nahuatl languages,,,,,
nai,,,North American Indian languages,,,,,
nap,,,Neapolitan,,,,,
nau,,na,Nauru,,,,,
nav,,nv,Navajo,,,,,
nav,,nv,Navaho,,,,,
nbl,,nr,"Ndebele, South",,,,,
nbl,,nr,South Ndebele,,,,,
nde,,nd,"Ndebele, North",,,,,
nde,,nd,North Ndebele,,,,,
ndo,,ng,Ndonga,,,,,
nds,,,Low German,,,,,
nds,,,Low Saxon,,,,,
nds,,,"German, Low",,,,,
nds,,,"Saxon, Low",,,,,
nep,,ne,Nepali,ne,ne,ne,,
new,,,Nepal Bhasa,,,,,
new,,,Newari,,,,,
nia,,,Nias,,,,,
nic,,,Niger-Kordofanian languages,,,,,
niu,,,Niuean,,,,,
nno,,nn,Norwegian Nynorsk,,,,,
nno,,nn,"Nynorsk, Norwegian",,,,,
nob,,nb,"Bokmål, Norwegian",,,nb,,
nob,,nb,Norwegian Bokmål,,,nb,,
nog,,,Nogai,,,,,
nor,,no,Norwegian,no,no,,,
nqo,,,N'Ko,,,,,
nso,,,Pedi,,,,,
nso,,,Sepedi,,,,,
nso,,,Northern Sotho,,,,,
nub,,,Nubian languages,,,,,
nya,,ny,Chichewa,,ny,,,
nya,,ny,Chewa,,ny,,,
nya,,ny,Nyanja,,ny,,,
nym,,,Nyamwezi,,,,,
nyn,,,Nyankole,,,,,
nyo,,,Nyoro,,,,,
nzi,,,Nzima,,,,,
oci,,oc,Occitan (post 1500),,,,,
oji,,oj,Ojibwa,,,,,
ori,,or,Oriya,,or,or,,
orm,,om,Oromo,,,,,
osa,,,Osage,,,,,
oss,,os,Ossetian,,,,,
oss,,os,Ossetic,,,,,
oto,,,Otomian languages,,,,,
paa,,,Papuan languages,,,,,
pag,,,Pangasinan,,,,,
pal,,,Pahlavi,,,,,
pam,,,Pampanga,,,,,
pam,,,Kapampangan,,,,,
pan,,pa,Panjabi,pa,pa,pa,,
pan,,pa,Punjabi,pa,pa,pa,,
pap,,,Papiamento,pap,,,,
pau,,,Palauan,,,,,
per,fas,fa,Persian,fa,fa,fa,,
phi,,,Philippine languages,,,,,
phn,,,Phoenician,,,,,
pli,,pi,Pali,,,,,
pol,,pl,Polish,pl,pl,pl,pl,PL
pon,,,Pohnpeian,,,,,
por,,pt,Portuguese,pt,pt,pt,pt,PT
pra,,,Prakrit languages,,,,,
pus,,ps,Pushto,,ps,ps,,
pus,,ps,Pashto,,ps,ps,,
que,,qu,Quechua,,,,,
raj,,,Rajasthani,,,,,
rap,,,Rapanui,,,,,
rar,,,Rarotongan,,,,,
rar,,,Cook Islands Maori,,,,,
roa,,,Romance languages,,,,,
roh,,rm,Romansh,,,,,
rom,,,Romany,,,,,
rum,ron,ro,Romanian,ro,ro,ro,ro,RO
rum,ron,ro,Moldavian,ro,ro,ro,ro,RO
rum,ron,ro,Moldovan,ro,ro,ro,ro,RO
run,,rn,Rundi,,,,,
rup,,,Aromanian,,,,,
rup,,,Arumanian,,,,,
rup,,,Macedo-Romanian,,,,,
rus,,ru,Russian,ru,ru,ru,ru,RU
sad,,,Sandawe,,,,,
sag,,sg,Sango,,,,,
sah,,,Yakut,sah,,,,
sai,,,South American Indian languages,,,,,
sal,,,Salishan languages,,,,,
sam,,,Samaritan Aramaic,,,,,
san,,sa,Sanskrit,,,,,
sas,,,Sasak,,,,,
sat,,,Santali,,,,,
scn,,,Sicilian,,,,,
sco,,,Scots,,,,,
sel,,,Selkup,,,,,
sem,,,Semitic languages,,,,,
sgn,,,Sign Languages,,,,,
shn,,,Shan,,,,,
sid,,,Sidamo,,,,,
sin,,si,Sinhala,si,si,,,
sin,,si,Sinhalese,si,si,,,
sio,,,Siouan languages,,,,,
sit,,,Sino-Tibetan languages,,,,,
sla,,,Slavic languages,,,,,
slo,slk,sk,Slovak,sk,sk,sk,,SK
slv,,sl,Slovenian,sl,sl,sl,,SL
sma,,,Southern Sami,,,,,
sme,,se,Northern Sami,,,,,
smi,,,Sami languages,,,,,
smj,,,Lule Sami,,,,,
smn,,,Inari Sami,,,,,
smo,,sm,Samoan,,sm,sm,,
sms,,,Skolt Sami,,,,,
sna,,sn,Shona,,sn,,,
snd,,sd,Sindhi,,sd,,,
snk,,,Soninke,,,,,
sog,,,Sogdian,,,,,
som,,so,Somali,,so,,,
son,,,Songhai languages,,,,,
sot,,st,"Sotho, Southern",,st,,,
spa,,es,Spanish,es,es,es,es,ES
spa,,es,Castilian,es,es,es,es,ES
srd,,sc,Sardinian,,,,,
srn,,,Sranan Tongo,,,,,
srp,,sr,Serbian,sr,sr,sr-Cyrl,,
srr,,,Serer,,,,,
ssa,,,Nilo-Saharan languages,,,,,
ssw,,ss,Swati,,,,,
sjn,,,Sindarin,sjn,,,,
suk,,,Sukuma,,,,,
sun,,su,Sundanese,su,su,,,
sus,,,Susu,,,,,
sux,,,Sumerian,,,,,
swa,,sw,Swahili,sw,sw,sw,,
swe,,sv,Swedish,sv,sv,sv,,SV
syr,,,Syriac,,,,,
tah,,ty,Tahitian,,,ty,,
tai,,,Tai languages,,,,,
tam,,ta,Tamil,ta,ta,ta,,
tat,,tt,Tatar,tt,,,,
tel,,te,Telugu,te,te,te,,
tem,,,Timne,,,,,
ter,,,Tereno,,,,,
tet,,,Tetum,,,,,
tgk,,tg,Tajik,tg,tg,,,
tgl,,tl,Tagalog,tl,tl,,,
tha,,th,Thai,th,th,th,,
tib,bod,bo,Tibetan,,,,,
tig,,,Tigre,,,,,
tir,,ti,Tigrinya,,,ti,,
tiv,,,Tiv,,,,,
tkl,,,Tokelau,,,,,
tlh,,,Klingon,,,tlh-Latn,,
tlh,,,tlhIngan-Hol,,,tlh-Latn,,
tli,,,Tlingit,,,,,
tmh,,,Tamashek,,,,,
tog,,,Tonga (Nyasa),,,,,
ton,,to,Tonga (Tonga Islands),,,to,,
tpi,,,Tok Pisin,,,,,
tsi,,,Tsimshian,,,,,
tsn,,tn,Tswana,,,,,
tso,,ts,Tsonga,,,,,
tuk,,tk,Turkmen,,,,,
tum,,,Tumbuka,,,,,
tup,,,Tupi languages,,,,,
tur,,tr,Turkish,tr,tr,tr,tr,
tut,,,Altaic languages,,,,,
tvl,,,Tuvalu,,,,,
twi,,tw,Twi,,,,,
tyv,,,Tuvinian,,,,,
udm,,,Udmurt,udm,,,,
uga,,,Ugaritic,,,,,
uig,,ug,Uighur,,ug,,,
uig,,ug,Uyghur,,ug,,,
ukr,,uk,Ukrainian,uk,uk,uk,,
umb,,,Umbundu,,,,,
urd,,ur,Urdu,ur,ur,ur,,
uzb,,uz,Uzbek,uz,uz,,,
vai,,,Vai,,,,,
ven,,ve,Venda,,,,,
vie,,vi,Vietnamese,vi,vi,vi,,
vol,,vo,Volapük,,,,,
vot,,,Votic,,,,,
wak,,,Wakashan languages,,,,,
wal,,,Wolaitta,,,,,
wal,,,Wolaytta,,,,,
war,,,Waray,,,,,
was,,,Washo,,,,,
wel,cym,cy,Welsh,cy,cy,cy,,
wen,,,Sorbian languages,,,,,
wln,,wa,Walloon,,,,,
wol,,wo,Wolof,,,,,
xal,,,Kalmyk,,,,,
xal,,,Oirat,,,,,
xho,,xh,Xhosa,xh,xh,,,
yao,,,Yao,,,,,
yap,,,Yapese,,,,,
yid,,yi,Yiddish,yi,yi,,,
yor,,yo,Yoruba,,yo,,,
ypk,,,Yupik languages,,,,,
zap,,,Zapotec,,,,,
zbl,,,Blissymbols,,,,,
zbl,,,Blissymbolics,,,,,
zbl,,,Bliss,,,,,
zen,,,Zenaga,,,,,
zgh,,,Standard Moroccan Tamazight,,,,,
zha,,za,Zhuang,,,,,
zha,,za,Chuang,,,,,
znd,,,Zande languages,,,,,
zul,,zu,Zulu,zu,zu,,,
zun,,,Zuni,,,,,
zza,,,Zaza,,,,,
zza,,,Dimili,,,,,
zza,,,Dimli,,,,,
zza,,,Kirdki,,,,,
zza,,,Kirmanjki,,,,,
zza,,,Zazaki,,,,,
,,,Kazakh (Latin),kazlat,,,,
,,,Uzbek (Cyrilic),uzbcyr,,,,
,,,Emoji,emj,,,,
,,,Chinese Simplified,,zh-cn,zh-Hans,,
,,,Chinese Traditional,,zh-tw,zh-Hant,,
,,,Cantonese (Traditional),,,yue,,
,,,Dari,,,prs,,
,,,Hmong Daw,,,mww,,
,,,Klingon (plqaD),,,tlh-Piqd,,
,,,Kurdish (Northern),,,kmr,,
,,,Portuguese (Portugal),,,pt-pt,,
,,,Queretaro Otomi,,,otq,,
,,,Serbian (Cyrillic),,,sr-Cyrl,,
,,,Serbian (Latin),,,sr-Latn,,
,,,Yucatec Maya,,,yua,,
